ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
18 1 1 92.2152 3.83657 4.76525 
19 1 1 92.161 3.92413 5.79054 
20 1 1 91.7801 3.60165 6.67082 
21 1 1 92.4535 4.08335 7.05637 
22 1 1 93.4237 3.95122 7.2136 
23 1 1 94.3117 4.14875 6.83299 
24 1 1 93.8209 3.44053 6.41789 
25 1 1 93.734 2.99602 7.30109 
26 1 1 93.4078 2.21573 7.80279 
27 1 1 92.5684 1.75378 7.80151 
28 1 1 93.3616 1.21828 7.59357 
29 1 1 93.7509 0.860045 8.46904 
30 1 1 93.533 99.966 8.60806 
31 1 1 93.9358 99.9188 7.73669 
32 1 1 93.3757 99.2941 7.199 
33 1 1 92.9258 0.158738 7.07973 
34 1 1 92.1494 0.187408 6.48978 
35 1 1 91.4182 99.4483 6.60633 
36 1 1 90.7967 99.1004 5.89243 
37 1 1 91.6589 99.0227 5.54294 
38 1 1 91.7282 98.1922 5.02478 
39 1 1 92.4148 97.7067 4.60105 
40 1 1 92.331 98.3816 3.94198 
41 1 1 92.9408 98.6118 3.05642 
42 1 1 92.5424 97.6876 2.86222 
43 1 1 93.226 96.9851 3.03342 
44 1 1 93.9959 96.8519 3.45911 
45 1 1 94.835 96.8657 2.90433 
46 1 1 95.2316 97.7386 2.94567 
47 1 1 95.4717 98.6088 3.13536 
48 1 1 95.0276 99.4503 2.90739 
49 1 1 95.1978 0.309677 3.286 
50 1 1 95.1521 0.597417 2.37942 
51 1 1 94.7232 1.36021 2.77533 
52 1 1 94.6212 2.3148 2.61559 
53 1 1 94.6627 3.26358 2.82785 
54 1 1 94.0214 3.47577 3.4605 
55 1 1 93.2998 3.84621 3.0128 
56 1 1 92.336 3.73688 3.04028 
57 1 1 92.3013 4.339 2.34288 
58 1 1 92.7764 5.23139 2.20551 
59 1 1 93.1756 5.54915 3.13304 
60 1 1 93.0306 6.38696 2.71526 
61 1 1 92.1298 6.43667 2.43439 
62 1 1 91.1825 6.16277 2.51029 
63 1 1 90.5066 6.6737 1.94817 
64 1 1 91.3127 6.91621 1.46376 
65 1 1 91.7219 6.81743 0.56607 
66 1 1 92.058 7.61791 0.121889 
67 1 1 92.1216 7.95717 99.2001 
68 1 1 92.2113 8.46793 98.3892 
69 1 1 92.1112 9.03927 97.7228 
70 1 1 91.8731 10.0373 97.7344 
71 1 1 91.2561 10.0742 98.4725 
72 1 1 90.8908 10.8597 98.5999 
73 1 1 90.3181 11.6763 98.7133 
74 1 1 89.8157 11.1895 98.0545 
75 1 1 89.6632 10.4902 97.3666 
76 1 1 89.4187 11.4503 97.0249 
77 1 1 88.5391 11.5732 97.4269 
78 1 1 88.2831 12.3047 98.1077 
79 1 1 89.1146 12.8789 98.486 
80 1 1 88.5457 13.4704 98.9963 
81 1 1 88.6427 14.3836 99.3449 
82 1 1 88.0972 15.0857 99.1893 
83 1 1 88.1273 15.6227 0.00982576 
84 1 1 88.279 16.5893 0.208652 
85 1 1 87.4886 17.2128 0.365028 
86 1 1 87.3992 16.915 99.3683 
87 1 1 86.6218 17.4972 99.6551 
88 1 1 86.0586 18.3405 99.9608 
89 1 1 86.3651 17.926 0.775723 
90 1 1 86.2152 16.9566 1.16648 
91 1 1 86.564 16.7708 2.02122 
92 1 1 87.0766 16.0737 1.68112 
93 1 1 86.2029 15.67 1.82854 
94 1 1 86.1288 15.4266 0.817147 
95 1 1 85.1605 15.0863 0.617661 
96 1 1 84.6537 14.4063 1.09468 
97 1 1 84.0879 14.7626 1.69637 
98 1 1 83.23 14.4342 1.53095 
99 1 1 83.0762 13.6072 1.09299 
100 1 1 84.0109 13.6601 0.654542 
ITEM: TIMESTEP
50000
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
0.0000000000000000e+00 1.0000000000000000e+02
ITEM: ATOMS id mol type x y z 
1 1 1 94.9307 93.5959 98.8241 
2 1 1 94.0921 94.178 98.675 
3 1 1 93.2895 94.6074 98.3 
4 1 1 93.9693 95.0462 97.8136 
5 1 1 93.7747 95.9779 97.78 
6 1 1 93.9487 96.8309 97.4062 
7 1 1 93.3504 97.6122 97.6343 
8 1 1 93.4657 97.1133 98.4934 
9 1 1 93.1149 97.6139 99.3327 
10 1 1 93.2694 98.4596 99.8181 
11 1 1 92.4698 98.5588 99.3939 
12 1 1 92.4749 99.5463 99.4941 
13 1 1 91.7288 99.8413 0.184743 
14 1 1 92.4038 99.8389 0.82717 
15 1 1 92.2844 0.387733 1.56284 
16 1 1 91.4806 0.752963 1.99375 
17 1 1 91.1662 0.958546 2.90843 
18 1 1 90.1567 0.78971 3.00631 
19 1 1 90.442 99.9925 3.49976 
20 1 1 90.7142 99.1102 3.77019 
21 1 1 91.2556 99.3335 3.12234 
22 1 1 90.9761 98.5607 2.66452 
23 1 1 90.9878 97.6762 3.04504 
24 1 1 91.4972 98.154 3.68202 
25 1 1 92.3801 98.0375 4.21251 
26 1 1 93.0197 97.4731 4.7161 
27 1 1 93.8861 97.1978 4.90253 
28 1 1 94.4156 96.6951 5.55664 
29 1 1 95.2663 97.129 5.70532 
30 1 1 95.2984 97.9035 6.20221 
31 1 1 95.1292 98.6347 6.82743 
32 1 1 94.3757 98.4986 7.29894 
33 1 1 93.9657 99.0765 7.94679 
34 1 1 93.2637 98.9099 7.24989 
35 1 1 93.5025 98.2132 6.60671 
36 1 1 92.9381 98.8211 6.00898 
37 1 1 92.0365 99.1632 6.30295 
38 1 1 92.5861 99.956 5.96072 
39 1 1 93.4761 99.7464 6.06605 
40 1 1 93.2702 0.375783 6.72626 
41 1 1 94.0933 99.9714 6.82461 
42 1 1 94.4517 0.647577 6.31171 
43 1 1 93.8301 1.38771 6.72128 
44 1 1 94.0816 1.48418 5.74695 
45 1 1 93.1743 1.83462 5.40774 
46 1 1 92.5945 1.60602 4.70406 
47 1 1 91.8096 1.02066 4.76344 
48 1 1 91.8759 1.7435 5.39961 
49 1 1 92.0067 2.89675 5.39533 
50 1 1 92.1885 2.65006 6.48282 
51 1 1 91.7295 3.25326 7.00828 
52 1 1 92.1377 3.54934 6.15868 
53 1 1 91.8179 3.91146 5.32487 
54 1 1 92.2877 3.53575 4.58052 
55 1 1 91.9078 4.25955 4.20636 
56 1 1 91.68 3.78196 3.48355 
57 1 1 91.4839 3.85329 2.55617 
58 1 1 90.758 3.28903 2.30596 
59 1 1 90.0036 3.69896 2.73537 
